wave_peak	wave_base	wave_top	species
424.6822	424.65220000000005	424.7122	Sc 2
432.0732	432.0432	432.10319999999996	Sc 2
432.095	432.06500000000005	432.125	Ti 2
433.1642	433.1342	433.19419999999997	Ni 1
433.7046	433.67460000000005	433.7346	Fe 1
433.7557	433.7257	433.78569999999996	Cr 1
434.4281	434.3981	434.45809999999994	Ti 2
434.4501	434.42010000000005	434.4801	Cr 1
435.0838	435.0538	435.11379999999997	Ti 2
435.1049	435.0749	435.13489999999996	Cr 1
438.0053	437.9753	438.03529999999995	Ce 2
438.0072	437.97720000000004	438.0372	Co 1
438.8407	438.81070000000005	438.8707	Fe 1
438.9244	438.8944	438.95439999999996	Fe 1
438.9976	438.9676	439.02759999999995	V 1
439.0951	439.06510000000003	439.1251	Fe 1
439.5839	439.55390000000006	439.6139	Ti 2
439.801	439.771	439.83099999999996	Y 2
440.7638	440.73380000000003	440.7938	V 1
440.8193	440.7893	440.84929999999997	V 1
440.8413	440.8113	440.87129999999996	Fe 1
441.0518	441.02180000000004	441.0818	Ni 1
441.4461	441.41610000000003	441.4761	Fe 1
441.4535	441.42350000000005	441.4835	Zr 2
441.6819	441.6519	441.71189999999996	Fe 2
442.1938	442.16380000000004	442.2238	Ti 2
442.5437	442.51370000000003	442.5737	Ca 1
442.991	442.961	443.02099999999996	La 2
443.0614	443.0314	443.09139999999996	Fe 1
443.3218	443.2918	443.35179999999997	Fe 1
443.4957	443.4657	443.5257	Ca 1
443.5149	443.48490000000004	443.5449	Fe 1
443.6133	443.5833	443.64329999999995	V 1
443.6343	443.6043	443.66429999999997	Mn 1
444.1729	444.14290000000005	444.2029	Ti 2
444.2831	444.2531	444.31309999999996	Fe 1
444.2992	444.2692	444.32919999999996	Zr 2
444.3194	444.2894	444.34939999999995	Fe 1
444.3801	444.35010000000005	444.4101	Ti 2
444.4204	444.3904	444.45039999999995	V 1
444.4554	444.4254	444.48539999999997	Ti 2
444.6832	444.6532	444.7132	Fe 1
444.713	444.68300000000005	444.743	Fe 1
444.7717	444.74170000000004	444.8017	Fe 1
444.9142	444.8842	444.94419999999997	Ti 1
445.1581	445.1281	445.18809999999996	Mn 1
445.156	445.12600000000003	445.186	Nd 2
445.4779	445.4479	445.50789999999995	Ca 1
445.4795	445.4495	445.50949999999995	Zr 2
445.6326	445.60260000000005	445.6626	Fe 1
445.6616	445.63160000000005	445.6916	Ca 1
445.808	445.778	445.83799999999997	Fe 1
445.8248	445.7948	445.85479999999995	Mn 1
446.1653	446.13530000000003	446.1953	Fe 1
446.1968	446.1668	446.22679999999997	Fe 1
446.4449	446.41490000000005	446.4749	Ti 2
446.6551	446.62510000000003	446.6851	Fe 1
446.8493	446.81930000000006	446.8793	Ti 2
446.9151	446.8851	446.94509999999997	Ti 2
446.9375	446.9075	446.9675	Fe 1
447.0132	446.9832	447.04319999999996	Mn 1
447.0472	447.0172	447.07719999999995	Ni 1
447.0853	447.05530000000005	447.1153	Ti 2
447.6076	447.5776	447.63759999999996	Fe 1
447.9615	447.9315	447.9915	Fe 1
448.2253	448.19530000000003	448.2553	Fe 1
448.422	448.39200000000005	448.452	Fe 1
448.5676	448.53760000000005	448.5976	Fe 1
448.8133	448.78330000000005	448.8433	Fe 1
448.8324	448.80240000000003	448.8624	Ti 2
448.9739	448.94390000000004	449.0039	Fe 1
449.1397	449.10970000000003	449.1697	Fe 2
449.3522	449.3222	449.38219999999995	Ti 2
449.4563	449.4263	449.48629999999997	Fe 1
450.127	450.09700000000004	450.157	Ti 2
450.2213	450.1913	450.25129999999996	Mn 1
450.828	450.798	450.85799999999995	Fe 2
451.1891	451.1591	451.21909999999997	Cr 1
451.2268	451.19680000000005	451.2568	Ca 1
451.2734	451.2434	451.30339999999995	Ti 1
451.7524	451.72240000000005	451.7824	Fe 1
451.8022	451.77220000000005	451.8322	Ti 1
451.9983	451.9683	452.02829999999994	Ni 1
452.3075	452.27750000000003	452.3375	Ce 2
452.3399	452.3099	452.3699	Fe 1
452.4679	452.4379	452.49789999999996	Ti 2
452.5137	452.4837	452.54369999999994	Fe 1
452.6928	452.6628	452.72279999999995	Ca 1
453.0738	453.04380000000003	453.1038	Cr 1
453.0949	453.0649	453.12489999999997	Co 1
453.1148	453.08480000000003	453.1448	Fe 1
453.1585	453.12850000000003	453.1885	Fe 1
453.4776	453.4476	453.50759999999997	Ti 1
454.0498	454.01980000000003	454.0798	Cr 1
454.0704	454.04040000000003	454.1004	Cr 1
454.4016	454.3716	454.43159999999995	Ti 2
454.5133	454.48330000000004	454.5433	Ti 2
454.5953	454.56530000000004	454.6253	Cr 1
454.8764	454.8464	454.90639999999996	Ti 1
455.4029	455.3729	455.43289999999996	Ba 2
455.5483	455.5183	455.57829999999996	Ti 1
455.5887	455.55870000000004	455.6187	Fe 2
455.865	455.83500000000004	455.895	Cr 2
456.2359	456.20590000000004	456.2659	Ce 2
456.8314	456.8014	456.86139999999995	Ti 2
457.1096	457.0796	457.1396	Mg 1
457.4718	457.4418	457.50179999999995	Fe 1
457.6333	457.60330000000005	457.6633	Fe 2
457.8551	457.8251	457.88509999999997	Ca 1
458.0048	457.9748	458.03479999999996	Cr 1
458.283	458.25300000000004	458.313	Fe 2
458.3409	458.3109	458.37089999999995	Ti 2
458.6374	458.60740000000004	458.6674	V 1
458.7127	458.6827	458.74269999999996	Fe 1
458.8199	458.78990000000005	458.8499	Cr 2
458.9958	458.9658	459.02579999999995	Ti 2
459.2049	459.17490000000004	459.2349	Cr 2
459.2651	459.23510000000005	459.2951	Fe 1
459.5358	459.5058	459.56579999999997	Fe 1
460.0359	460.00590000000005	460.0659	Ni 1
460.0749	460.04490000000004	460.1049	Cr 1
460.2001	460.17010000000005	460.2301	Fe 1
460.2941	460.26410000000004	460.3241	Fe 1
460.4982	460.4682	460.52819999999997	Ni 1
460.7331	460.7031	460.76309999999995	Sr 1
460.7646	460.7346	460.79459999999995	Fe 1
461.6124	461.5824	461.64239999999995	Cr 1
461.6629	461.6329	461.69289999999995	Cr 2
461.7269	461.6969	461.7569	Ti 1
461.9288	461.89880000000005	461.9588	Fe 1
462.0513	462.02130000000005	462.0813	Fe 2
462.5045	462.47450000000003	462.5345	Fe 1
463.012	462.982	463.042	Fe 1
463.5846	463.55460000000005	463.6146	Fe 1
463.7503	463.7203	463.78029999999995	Fe 1
463.801	463.771	463.83099999999996	Fe 1
464.3463	464.3163	464.37629999999996	Fe 1
464.5188	464.4888	464.54879999999997	Ti 1
464.6162	464.5862	464.64619999999996	Cr 1
464.7434	464.71340000000004	464.7734	Fe 1
465.1284	465.0984	465.1584	Cr 1
465.6468	465.6168	465.67679999999996	Ti 1
465.7201	465.69010000000003	465.7501	Ti 2
466.197	466.16700000000003	466.227	Fe 1
466.6749	466.6449	466.70489999999995	Fe 2
466.856	466.826	466.88599999999997	Na 1
467.017	466.987	467.04699999999997	Fe 2
467.0407	467.01070000000004	467.0707	Sc 2
467.3164	467.2864	467.34639999999996	Fe 1
467.8846	467.8546	467.91459999999995	Fe 1
468.1909	468.1609	468.2209	Ti 1
468.5268	468.4968	468.55679999999995	Ca 1
468.6207	468.5907	468.6507	Ni 1
469.9594	469.92940000000004	469.9894	Cr 1
470.2991	470.26910000000004	470.3291	Mg 1
470.3807	470.3507	470.41069999999996	Ni 1
470.4948	470.4648	470.52479999999997	Fe 1
470.971	470.94100000000003	471.001	Mn 1
471.8419	471.81190000000004	471.8719	Cr 1
471.9511	471.9211	471.98109999999997	Ti 2
472.2153	472.18530000000004	472.2453	Zn 1
472.2606	472.23060000000004	472.2906	Ti 1
472.8546	472.82460000000003	472.8846	Fe 1
473.0029	472.97290000000004	473.0329	Mg 1
473.3591	473.32910000000004	473.3891	Fe 1
473.5843	473.5543	473.61429999999996	Fe 1
473.6773	473.64730000000003	473.7073	Fe 1
473.909	473.879	473.93899999999996	Mn 1
473.948	473.918	473.97799999999995	Zr 1
474.1529	474.1229	474.18289999999996	Fe 1
474.2789	474.24890000000005	474.3089	Ti 1
475.6112	475.5812	475.64119999999997	Cr 1
475.651	475.62100000000004	475.681	Ni 1
475.8118	475.78180000000003	475.8418	Ti 1
475.927	475.89700000000005	475.957	Ti 1
476.1506	476.1206	476.18059999999997	Mn 1
476.3944	476.36440000000005	476.4244	Ni 1
476.5853	476.55530000000005	476.6153	Mn 1
477.283	477.25300000000004	477.313	Fe 1
478.3432	478.31320000000005	478.3732	Mn 1
536.9585	536.9285	536.9884999999999	Co 1
536.9961	536.9661	537.0260999999999	Fe 1
537.3709	537.3409	537.4009	Fe 1
537.9574	537.9274	537.9874	Fe 1
538.9479	538.9179	538.9779	Fe 1
539.3167	539.2867	539.3466999999999	Fe 1
539.4619	539.4319	539.4919	Mn 1
539.8279	539.7979	539.8579	Fe 1
540.0501	540.0201000000001	540.0801	Fe 1
540.2774	540.2474	540.3073999999999	Y 2
540.4151	540.3851000000001	540.4451	Fe 1
540.5775	540.5475	540.6075	Fe 1
540.9133	540.8833000000001	540.9433	Fe 1
540.9784	540.9484	541.0083999999999	Cr 1
541.091	541.061	541.121	Fe 1
541.5199	541.4899	541.5499	Fe 1
541.8768	541.8468	541.9068	Ti 2
542.0372	542.0072	542.0672	Mn 1
542.4068	542.3768	542.4368	Fe 1
542.4536	542.4236000000001	542.4836	Ni 1
542.5249	542.4949	542.5549	Fe 2
543.2948	543.2648	543.3248	Fe 1
543.4524	543.4224	543.4824	Fe 1
543.5858	543.5558	543.6157999999999	Ni 1
543.6295	543.5995	543.6595	Fe 1
544.5042	544.4742	544.5341999999999	Fe 1
544.6916	544.6616	544.7216	Fe 1
546.296	546.2660000000001	546.326	Fe 1
546.3275	546.2975	546.3575	Fe 1
546.428	546.398	546.458	Fe 1
547.39	547.36	547.42	Fe 1
547.6288	547.5988	547.6587999999999	Fe 1
547.6564	547.6264	547.6863999999999	Fe 1
547.6904	547.6604	547.7203999999999	Ni 1
